brand,nom_etablissement,source,note_brute,texte,note_std,langue,texte_propre,date,sentiment_score,sentiment_label
Huttopia,Sud_Ardeche,Google Maps,,"Nous avons séjourné à Huttopia Sud Ardèche pour un séminaire d’entreprise avec un groupe d’une trentaine de personnes, et tout a été parfait !  L’accueil et le service ont été impeccables, la restauration excellente et les hébergements confortables, en pleine nature et dans un calme absolu. Le cadre est magnifique, avec un panorama superbe, idéal pour se détendre ou travailler sereinement.  Un grand merci à toute l’équipe pour son professionnalisme et son accueil chaleureux. Nous recommandons vivement pour tout séminaire ou séjour au vert ! 🌿",4.0,fr,"Nous avons séjourné à Huttopia Sud Ardèche pour un séminaire d’entreprise avec un groupe d’une trentaine de personnes, et tout a été parfait !  L’accueil et le service ont été impeccables, la restauration excellente et les hébergements confortables, en pleine nature et dans un calme absolu. Le cadre est magnifique, avec un panorama superbe, idéal pour se détendre ou travailler sereinement.  Un grand merci à toute l’équipe pour son professionnalisme et son accueil chaleureux. Nous recommandons vivement pour tout séminaire ou séjour au vert ! 🌿",,0.42055555555555546,Positif
Huttopia,Sud_Ardeche,Google Maps,,"Excellent sejour en famille dans le camping Huttopia sud Ardèche. Nous étions dans une tente trappeur, c’est confortable et très bien équipé. Les enfants ont profité de nombreuses activités, l’équipe sur place était aux petits soins et toujours à l’écoute. Nous reviendrons 👍",3.0,fr,"Excellent sejour en famille dans le camping Huttopia sud Ardèche. Nous étions dans une tente trappeur, c’est confortable et très bien équipé. Les enfants ont profité de nombreuses activités, l’équipe sur place était aux petits soins et toujours à l’écoute. Nous reviendrons 👍",,0.13333333333333333,Neutre
Huttopia,Sud_Ardeche,Google Maps,,"Superbe séjour au village Huttopia sud Ardèche. Très beau village, propre et très bien entretenu. Des activités variées et en nombre. Toujours de la place même en plein mois d’août. Et une équipe au top, serviable souriante et compétente. On reviendra !",4.0,fr,"Superbe séjour au village Huttopia sud Ardèche. Très beau village, propre et très bien entretenu. Des activités variées et en nombre. Toujours de la place même en plein mois d’août. Et une équipe au top, serviable souriante et compétente. On reviendra !",,0.49642857142857144,Positif
Huttopia,Sud_Ardeche,Google Maps,,"Excellent séjour en famille: cadre paisible au milieu de la forêt, chalet tout confort sans vis à vis, pas de voiture. |Équipe jeune, dévouée et hyper investi. |Ateliers au top avec des intervenants de grande qualité: chef traiteur, …",4.0,fr,"Excellent séjour en famille: cadre paisible au milieu de la forêt, chalet tout confort sans vis à vis, pas de voiture. |Équipe jeune, dévouée et hyper investi. |Ateliers au top avec des intervenants de grande qualité: chef traiteur, …",,0.42333333333333334,Positif
Huttopia,Sud_Ardeche,Google Maps,,"Une super semaine dans un magnifique endroit. Tout est mis en place pour passer de bons moments en pleine nature. La tente trappeur avec terrasse et plancha est super confortable. Toute l’équipe est adorable, serviable, toujours de bonne humeur. Les plats/produits proposés sont d’excellente qualité (une belle carte resto, cookies maison délicieux, bonne bière locale). Les activités organisées tout au long du séjour sont top, réalisées par des animateurs motivés. Le fait que tout le village soit piéton est un vrai plus, on est vraiment au calme. Le spa forestier est très cosy et agréable. Toute la famille a adoré, merci à toute l’équipe!",4.0,fr,"Une super semaine dans un magnifique endroit. Tout est mis en place pour passer de bons moments en pleine nature. La tente trappeur avec terrasse et plancha est super confortable. Toute l’équipe est adorable, serviable, toujours de bonne humeur. Les plats/produits proposés sont d’excellente qualité (une belle carte resto, cookies maison délicieux, bonne bière locale). Les activités organisées tout au long du séjour sont top, réalisées par des animateurs motivés. Le fait que tout le village soit piéton est un vrai plus, on est vraiment au calme. Le spa forestier est très cosy et agréable. Toute la famille a adoré, merci à toute l’équipe!",,0.39883333333333343,Positif
Huttopia,Sud_Ardeche,Google Maps,,"Magnifique camping dans la nature. Tres bons conseils de randonnées. Chalets tres confortables et à temperature agréable par 38 degres dehors sans besoin de clim (bravo de resister à cet objet, Huttopia !) Personnel composé de jeunes gens sympathiques, souriants, polyglottes, serviables et de bonne humeur.",4.0,fr,"Magnifique camping dans la nature. Tres bons conseils de randonnées. Chalets tres confortables et à temperature agréable par 38 degres dehors sans besoin de clim (bravo de resister à cet objet, Huttopia !) Personnel composé de jeunes gens sympathiques, souriants, polyglottes, serviables et de bonne humeur.",,0.6094999999999999,Positif
Huttopia,Sud_Ardeche,Google Maps,,"Calme, nature, animé juste ce qu’il faut, resto avec terrasse panoramique, jacuzzi plein air,.. par contre certains chalets manquent d’ombre en plein été.",3.0,fr,"Calme, nature, animé juste ce qu’il faut, resto avec terrasse panoramique, jacuzzi plein air,.. par contre certains chalets manquent d’ombre en plein été.",,0.245,Positif
Huttopia,Sud_Ardeche,Google Maps,,"Séjour très agréable, conforme au descriptif. Le logement tente trappeur était très confortable et bien équipé. Les enfants ont apprécié les nombreuses activités proposées. L'équipe sur place est disponible, professionnelle et très serviable. Je recommande vivement !",3.0,fr,"Séjour très agréable, conforme au descriptif. Le logement tente trappeur était très confortable et bien équipé. Les enfants ont apprécié les nombreuses activités proposées. L'équipe sur place est disponible, professionnelle et très serviable. Je recommande vivement !",,0.23272727272727273,Positif
Huttopia,Sud_Ardeche,Google Maps,,"Village Huttopia très agréable, surtout en basse saison. Nous avons pu profiter du spa et de la piscine, le cadre est vraiment agréable, on est vraiment en pleine nature et les emplacements sont grands, on n’est pas du tout gêné par les autres voyageurs. Le personnel est très sympa et serviable. Nous sommes venus 2 fois dans ce village, nous reviendrons peut être une troisième et nous iront sûrement dans d’autres villages Huttopia !",3.0,fr,"Village Huttopia très agréable, surtout en basse saison. Nous avons pu profiter du spa et de la piscine, le cadre est vraiment agréable, on est vraiment en pleine nature et les emplacements sont grands, on n’est pas du tout gêné par les autres voyageurs. Le personnel est très sympa et serviable. Nous sommes venus 2 fois dans ce village, nous reviendrons peut être une troisième et nous iront sûrement dans d’autres villages Huttopia !",,0.23653846153846153,Positif
Huttopia,Sud_Ardeche,Google Maps,,"Personnel au top : accueillant et sympathique !  Logement agréable et bien équipé, emplacement et activités proposées idéales pour des vacances familiales. Nous avons participé en famille à l’initiation Tambours ainsi que la recherche de trésors archéologiques : intervenants très intéressants et qui s’adaptent au public. Les enfants ont également réalisés des activités avec l’équipe d’animation sur place et ils étaient ravis. C’est notre quatrième séjour via Huttopia et nous sommes toujours aussi satisfaits.",4.0,fr,"Personnel au top : accueillant et sympathique !  Logement agréable et bien équipé, emplacement et activités proposées idéales pour des vacances familiales. Nous avons participé en famille à l’initiation Tambours ainsi que la recherche de trésors archéologiques : intervenants très intéressants et qui s’adaptent au public. Les enfants ont également réalisés des activités avec l’équipe d’animation sur place et ils étaient ravis. C’est notre quatrième séjour via Huttopia et nous sommes toujours aussi satisfaits.",,0.29230769230769227,Positif
