brand,nom_etablissement,source,note_brute,note_std,texte,texte_propre,langue,date,theme_label,theme_score,theme_scores,sentiment_stars,sentiment_score,sentiment_label,texte_sentiment
Huttopia,Arcachon,Booking,"Avec une note de 10
10",5.0,"4 nuits · avril 2026 Commentaire envoyé le 12 avril 2026 Avec une note de 10 Tente bien conçue, idéale pour passer quelques jours au calme.","4 nuits · avril 2026 Commentaire envoyé le 12 avril 2026 Avec une note de 10 Tente bien conçue, idéale pour passer quelques jours au calme.",fr,2026-04-12,hébergement et confort,0.9989,"{'hébergement et confort': 0.9989, 'rapport qualité-prix': 0.9867, 'propreté et sanitaires': 0.8361, 'nature et environnement': 0.5677, 'accueil et personnel': 0.5432, 'activités et animations': 0.4236, 'restauration et alimentation': 0.2103}",4,0.4946,Positif,"Tente bien conçue, idéale pour passer quelques jours au calme."
Huttopia,Arcachon,Booking,"Avec une note de 10
10",5.0,"Chalet 2 Chambres 3 nuits · avril 2026 Commentaire envoyé le 8 avril 2026 Avec une note de 10 Coin tranquille dans Arcachon, logement propre","Chalet 2 Chambres 3 nuits · avril 2026 Commentaire envoyé le 8 avril 2026 Avec une note de 10 Coin tranquille dans Arcachon, logement propre",fr,2026-04-08,hébergement et confort,0.999,"{'hébergement et confort': 0.999, 'rapport qualité-prix': 0.9782, 'nature et environnement': 0.9465, 'activités et animations': 0.8708, 'accueil et personnel': 0.8669, 'restauration et alimentation': 0.7154, 'propreté et sanitaires': 0.6167}",5,0.4555,Positif,"Coin tranquille dans Arcachon, logement propre"
Huttopia,Arcachon,Booking,"Avec une note de 8,0
8,0",4.0,"Chalet 1 Chambre 3 nuits · avril 2026 Commentaire envoyé le 3 avril 2026 Camping calme et reposant. Avec une note de 8,0 Grande baie vitrée pour profiter du soleil. Chalet récent tout en bois et très propre. La verdure dans le camping. Camping raisonné et propre. Ce n’est pas une usine ce qui est très appréciables. Petite forêt juste à côté pour se promener. Manque d’équipement sur les petits modèles 3 places (pas de sèche cheveux, pas de lave vaisselle, pas de torchon pour la cuisine). L’aménagement intérieur mériterai d’être repensé surtout la table bar de cuisine qui prend énormément de place. Une table rabatable aurait permis de gagner un peu de place. Notre chalet était juste à côté du parking mais une separation aurait été bien pour masquer le vis à vis. Les emplacements sont assez proches l’un à l’autre mais ils ont pensé à mettre des buissons pour limiter la proximité.","Chalet 1 Chambre 3 nuits · avril 2026 Commentaire envoyé le 3 avril 2026 Camping calme et reposant. Avec une note de 8,0 Grande baie vitrée pour profiter du soleil. Chalet récent tout en bois et très propre. La verdure dans le camping. Camping raisonné et propre. Ce n’est pas une usine ce qui est très appréciables. Petite forêt juste à côté pour se promener. Manque d’équipement sur les petits modèles 3 places (pas de sèche cheveux, pas de lave vaisselle, pas de torchon pour la cuisine). L’aménagement intérieur mériterai d’être repensé surtout la table bar de cuisine qui prend énormément de place. Une table rabatable aurait permis de gagner un peu de place. Notre chalet était juste à côté du parking mais une separation aurait été bien pour masquer le vis à vis. Les emplacements sont assez proches l’un à l’autre mais ils ont pensé à mettre des buissons pour limiter la proximité.",fr,2026-04-03,nature et environnement,0.9562,"{'nature et environnement': 0.9562, 'hébergement et confort': 0.9494, 'rapport qualité-prix': 0.8831, 'propreté et sanitaires': 0.8394, 'activités et animations': 0.7852, 'restauration et alimentation': 0.5712, 'accueil et personnel': 0.1255}",4,0.6234,Positif,"Camping calme et reposant. Grande baie vitrée pour profiter du soleil. Chalet récent tout en bois et très propre. La verdure dans le camping. Camping raisonné et propre. Ce n’est pas une usine ce qui est très appréciables. Petite forêt juste à côté pour se promener. Manque d’équipement sur les petits modèles 3 places (pas de sèche cheveux, pas de lave vaisselle, pas de torchon pour la cuisine). L’aménagement intérieur mériterai d’être repensé surtout la table bar de cuisine qui prend énormément de place. Une table rabatable aurait permis de gagner un peu de place. Notre chalet était juste à côté du parking mais une separation aurait été bien pour masquer le vis à vis. Les emplacements sont assez proches l’un à l’autre mais ils ont pensé à mettre des buissons pour limiter la proximité."
Huttopia,Arcachon,Booking,"Avec une note de 10
10",5.0,Chalet 1 Chambre 2 nuits · avril 2026 Commentaire envoyé le 2 avril 2026 Personnels très gentil et souriant je recommande à 100% Avec une note de 10 Le calme et la proximité du camping avec le centre d’arcachon Seul petit défaut le canapé et le matelas était trop dur,Chalet 1 Chambre 2 nuits · avril 2026 Commentaire envoyé le 2 avril 2026 Personnels très gentil et souriant je recommande à 100% Avec une note de 10 Le calme et la proximité du camping avec le centre d’arcachon Seul petit défaut le canapé et le matelas était trop dur,fr,2026-04-02,hébergement et confort,0.9982,"{'hébergement et confort': 0.9982, 'rapport qualité-prix': 0.9685, 'activités et animations': 0.8519, 'accueil et personnel': 0.6987, 'nature et environnement': 0.6299, 'propreté et sanitaires': 0.3186, 'restauration et alimentation': 0.1545}",4,0.7281,Positif,Personnels très gentil et souriant je recommande à 100% Le calme et la proximité du camping avec le centre d’arcachon Seul petit défaut le canapé et le matelas était trop dur
Huttopia,Arcachon,Booking,"Avec une note de 8,0
8,0",4.0,"2 nuits · mars 2026 Commentaire envoyé le 30 mars 2026 Avec une note de 8,0","2 nuits · mars 2026 Commentaire envoyé le 30 mars 2026 Avec une note de 8,0",fr,2026-03-30,hébergement et confort,0.6712,"{'hébergement et confort': 0.6712, 'propreté et sanitaires': 0.6525, 'rapport qualité-prix': 0.5982, 'restauration et alimentation': 0.5619, 'nature et environnement': 0.5001, 'activités et animations': 0.3235, 'accueil et personnel': 0.2729}",4,0.6,Positif,
Huttopia,Arcachon,Booking,"Avec une note de 9,0
9,0",4.5,"Chalet 2 Chambres 2 nuits · mars 2026 Voyageur individuel Commentaire envoyé le 23 mars 2026 Avec une note de 9,0 Le calme, le chalet et son confort","Chalet 2 Chambres 2 nuits · mars 2026 Voyageur individuel Commentaire envoyé le 23 mars 2026 Avec une note de 9,0 Le calme, le chalet et son confort",fr,2026-03-23,hébergement et confort,0.9996,"{'hébergement et confort': 0.9996, 'rapport qualité-prix': 0.9825, 'accueil et personnel': 0.6789, 'nature et environnement': 0.6167, 'activités et animations': 0.612, 'restauration et alimentation': 0.0028, 'propreté et sanitaires': 0.0013}",5,0.505,Positif,"Le calme, le chalet et son confort"
Huttopia,Arcachon,Booking,"Avec une note de 9,0
9,0",4.5,"Chalet 1 Chambre 3 nuits · mars 2026 Commentaire envoyé le 22 mars 2026 Très agréable séjour dans la nature et le calme Avec une note de 9,0 Le calme - Le fait qu'aucune voiture ne circule dans le camping (parking prévu près de l'accueil) - très ombragé, vraiment dans la nature - la situation géographique, proche de tout (forêt, mer et centre ville, tout en étant à l'écart) - la beauté du mobil-home - la gentillesse du personnel - L'accueil des animaux domestiques Les tabourets et la banquette ne sont pas très confortables, mais c'est vraiment un petit détail du fait que nous étions la plupart du temps à l'extérieur - A part cela, tout était parfait","Chalet 1 Chambre 3 nuits · mars 2026 Commentaire envoyé le 22 mars 2026 Très agréable séjour dans la nature et le calme Avec une note de 9,0 Le calme - Le fait qu'aucune voiture ne circule dans le camping (parking prévu près de l'accueil) - très ombragé, vraiment dans la nature - la situation géographique, proche de tout (forêt, mer et centre ville, tout en étant à l'écart) - la beauté du mobil-home - la gentillesse du personnel - L'accueil des animaux domestiques Les tabourets et la banquette ne sont pas très confortables, mais c'est vraiment un petit détail du fait que nous étions la plupart du temps à l'extérieur - A part cela, tout était parfait",fr,2026-03-22,nature et environnement,0.9992,"{'nature et environnement': 0.9992, 'hébergement et confort': 0.9736, 'activités et animations': 0.8539, 'propreté et sanitaires': 0.7625, 'rapport qualité-prix': 0.7533, 'accueil et personnel': 0.6033, 'restauration et alimentation': 0.0244}",4,0.6719,Positif,"Très agréable séjour dans la nature et le calme Le calme - Le fait qu'aucune voiture ne circule dans le camping (parking prévu près de l'accueil) - très ombragé, vraiment dans la nature - la situation géographique, proche de tout (forêt, mer et centre ville, tout en étant à l'écart) - la beauté du mobil-home - la gentillesse du personnel - L'accueil des animaux domestiques Les tabourets et la banquette ne sont pas très confortables, mais c'est vraiment un petit détail du fait que nous étions la plupart du temps à l'extérieur - A part cela, tout était parfait"
Huttopia,Arcachon,Booking,"Avec une note de 8,0
8,0",4.0,"Chalet 2 Chambres 1 nuit · mars 2026 Commentaire envoyé le 11 mars 2026 Avec une note de 8,0 Très Sympathique. À ne pas réserver pour une personne à mobilité très réduite.","Chalet 2 Chambres 1 nuit · mars 2026 Commentaire envoyé le 11 mars 2026 Avec une note de 8,0 Très Sympathique. À ne pas réserver pour une personne à mobilité très réduite.",fr,2026-03-11,hébergement et confort,0.9981,"{'hébergement et confort': 0.9981, 'propreté et sanitaires': 0.9594, 'rapport qualité-prix': 0.9317, 'accueil et personnel': 0.9106, 'restauration et alimentation': 0.8601, 'activités et animations': 0.7827, 'nature et environnement': 0.5029}",4,0.4684,Positif,Très Sympathique. À ne pas réserver pour une personne à mobilité très réduite.
Huttopia,Arcachon,Booking,"Avec une note de 10
10",5.0,"Chalet 2 Chambres 3 nuits · mars 2026 Voyageur individuel Commentaire envoyé le 6 mars 2026 Avec une note de 10 Personnel très agréable, serein et serviable. Un superbe cadre dans la nature avec accès pistes cyclables, balades et centre equestre. Plages accessibles à pied ou en velo. L endroit idéal pour passer des vacances en famille! Le logement est bien équipé et la literie est confortable. Merci au responsable de la location velo qui nous est venu en aide alors qu on était en balade à arcachon. Il s est deplacé pour nous depanner, sans frais supplémentaires alors que nous étions en tord (perte clé du cadenas) Rien. Tout était parfait! Merci au personnel","Chalet 2 Chambres 3 nuits · mars 2026 Voyageur individuel Commentaire envoyé le 6 mars 2026 Avec une note de 10 Personnel très agréable, serein et serviable. Un superbe cadre dans la nature avec accès pistes cyclables, balades et centre equestre. Plages accessibles à pied ou en velo. L endroit idéal pour passer des vacances en famille! Le logement est bien équipé et la literie est confortable. Merci au responsable de la location velo qui nous est venu en aide alors qu on était en balade à arcachon. Il s est deplacé pour nous depanner, sans frais supplémentaires alors que nous étions en tord (perte clé du cadenas) Rien. Tout était parfait! Merci au personnel",fr,2026-03-06,accueil et personnel,0.963,"{'accueil et personnel': 0.963, 'hébergement et confort': 0.936, 'nature et environnement': 0.7703, 'activités et animations': 0.77, 'rapport qualité-prix': 0.7232, 'propreté et sanitaires': 0.1968, 'restauration et alimentation': 0.0348}",5,0.6792,Positif,"Personnel très agréable, serein et serviable. Un superbe cadre dans la nature avec accès pistes cyclables, balades et centre equestre. Plages accessibles à pied ou en velo. L endroit idéal pour passer des vacances en famille! Le logement est bien équipé et la literie est confortable. Merci au responsable de la location velo qui nous est venu en aide alors qu on était en balade à arcachon. Il s est deplacé pour nous depanner, sans frais supplémentaires alors que nous étions en tord (perte clé du cadenas) Rien. Tout était parfait! Merci au personnel"
Huttopia,Arcachon,Booking,"Avec une note de 8,0
8,0",4.0,"Chalet 1 Chambre 3 nuits · février 2026 Commentaire envoyé le 5 mars 2026 Très agréable, dépaysant ! Avec une note de 8,0 Le calme, l’environnement et le logement Un peu juste tout de même pour 3 et le matelas du BZ n’est pas très confortable a contrario du lit","Chalet 1 Chambre 3 nuits · février 2026 Commentaire envoyé le 5 mars 2026 Très agréable, dépaysant ! Avec une note de 8,0 Le calme, l’environnement et le logement Un peu juste tout de même pour 3 et le matelas du BZ n’est pas très confortable a contrario du lit",fr,2026-03-05,hébergement et confort,0.9993,"{'hébergement et confort': 0.9993, 'nature et environnement': 0.9987, 'propreté et sanitaires': 0.998, 'rapport qualité-prix': 0.9806, 'activités et animations': 0.8583, 'accueil et personnel': 0.682, 'restauration et alimentation': 0.5203}",4,0.6246,Positif,"Très agréable, dépaysant ! Le calme, l’environnement et le logement Un peu juste tout de même pour 3 et le matelas du BZ n’est pas très confortable a contrario du lit"
